,idx,source_prompt,target_prompt,instructions
1017,457268-input,A bathroom with lots of toys hanging around a shelf.,A bathroom with a gorilla hanging from a shelf surrounded by toys.,Let a gorilla be hung from the shelf.
1018,197656-input,Several train tracks with a train on one of them.,Several train tracks with a black bullet train on one of them.,turn the train into a black bullet train
1019,197656-output1,Several train tracks with a black bullet train on one of them.,Black bullet train passing by buildings on several train tracks.,put buildings in the background of the image
1020,44080-input,"An orange bowl with oranges, bananas, and lemons","A salad bowl with mixed greens, tomatoes, and cucumbers",change the fruit bowl to a salad bowl
1021,44080-output1,"A salad bowl with mixed greens, tomatoes, and cucumbers","A salad bowl with mixed greens, tomatoes, and cucumbers and a cup of cola",change the orange drink to a cup of cola
1022,44080-output2,"A salad bowl with mixed greens, tomatoes, and cucumbers and a cup of cola","Salad bowl with mixed greens, tomatoes, and cucumbers, a cup of cola, and a clipboard",add a clipboard
1023,324012-input,Two laptops are next to a monitor on a cluttered desk.,A woman and child on the monitor watch as two laptops sit on a cluttered desk.,What if there was a woman and a child on the monitor.
1024,434485-input,Local fresh fruits and vegetables displayed for sale in a market,Sliced watermelon and other fresh fruits and vegetables displayed for sale in a local market,slice the watermelon
1025,573483-input,A statue of a cherub standing next to a clock on a wall.,A statue of a monkey standing next to a clock on a wall.,Replace the cherub with a monkey.
1026,573483-output1,A statue of a monkey standing next to a clock on a wall.,A statue of a monkey standing next to a large bell on a wall.,"Instead of the clock, a large bell should be there."
1027,573483-output2,A statue of a monkey standing next to a large bell on a wall.,A statue of a monkey and an owl standing next to a large bell on a wall.,An owl should be next to the monkey.
1028,360449-input,A stoplight on a busy city street in the evening,A stoplight on an empty city street at night,make the street empty
1029,360449-output1,A stoplight on an empty city street at night,A stoplight on an empty city street at night with a car parking garage in the background,add a car parking garage
1030,360449-output2,A stoplight on an empty city street at night with a car parking garage in the background,A stoplight and toll booth on an empty city street at night with a car parking garage in the background,Add a toll booth
1031,455219-input,Some people in a field working with some big animals.,Some people in a field working with some big animals and a snake in front of the oxen.,Add a snake to the road in front of the oxen.
1032,468203-input,"A table with teddy bears, sandwiches and other items.","A table with a crowned teddy bear, sandwiches and other items.",Have one of the teddy bears be wearing a crown
1033,364549-input,A person standing on a street with many birds.,A woman in a designer gown standing on a street with many birds.,let the woman wear a designer gown
1034,364549-output1,A woman in a designer gown standing on a street with many birds.,A woman in a designer gown standing on a bird-filled street.,remove the shrubs
1035,364549-output2,A woman in a designer gown standing on a bird-filled street.,A woman in a designer gown standing next to a park filled with birds.,let the woman be next to a park
1036,416125-input,A stop sign and fire hydrant on the side of the road.,A yield sign and fire hydrant on the side of the road.,Let the sign become a yield sign.
1037,109921-input,A white kitchen filled with appliances and dishes.,A bright white kitchen with a view of the outdoors and appliances and dishes.,Let the blind of the window be taken away.
1038,169763-input,A police motorcycle parked on the side of the road.,A monkey riding a police motorcycle parked on the side of the road.,put a monkey on top of the bike
1039,279994-input,Dog resting it's head on the arm of a couch.,Dog with butterfly resting on its head on the arm of a couch.,Put a butterfly on the dog.
1040,95061-input,A bus parked in front of a house.,A woman standing next to a bus parked in front of a house.,What if there is a woman next to the bus?
1041,116746-input,A parking meter sitting next to a patch of grass.,A parking meter sitting next to a parking lot.,change the fence to a parking lot.
1042,116746-output1,A parking meter sitting next to a parking lot.,A person leaning on a parking meter in a parking lot.,have a person lean on  the machine
1043,116746-output2,A person leaning on a parking meter in a parking lot.,A person leaning on a parking meter in an indoor parking lot.,change the parking lot to an indoor lot.
1044,47074-input,A woman putting sticky notes on a wall near a kitchen and a computer.,A woman in a party gown putting sticky notes on a wall near a kitchen and a computer.,let the woman wear a party gown
1045,47074-output1,A woman in a party gown putting sticky notes on a wall near a kitchen and a computer.,"A woman in a party gown putting sticky notes on a wall near a kitchen, a computer, and a bowl of roast chicken.",let there be a bowl with roast chicken
1046,47074-output2,"A woman in a party gown putting sticky notes on a wall near a kitchen, a computer, and a bowl of roast chicken.","A woman in a party gown painting on a wall near a kitchen, a computer, and a bowl of roast chicken.",let the woman paint on the wall
1047,147545-input,Large sized kitchen with a dining room section.,Large sized kitchen with a dining room section and a baby.,Put a baby in the kitchen.
1048,147545-output1,Large sized kitchen with a dining room section and a baby.,Large sized kitchen with a dining room section and a baby wearing a hat.,Put a hat on the baby.
1049,211118-input,A crazy bunny toy sitting on top of a tree trunk in a field next to sheep.,A crazy bunny toy sitting on top of a planet in space next to sheep.,place the rabbit on top of a planet instead of the tree trunk.
1050,211118-output1,A crazy bunny toy sitting on top of a planet in space next to sheep.,A crazy bunny toy sitting on top of a planet in space.,erase the sheeps
1051,131075-input,Open laptop on table with laptop screen projected on overhead screen.,Open laptop on table with a girl's face projected on overhead screen.,What if there is a girl in the screen of the laptop?
